Event,Fighter 1,KD F_1,Sig. str. landed F_1,Sig. str. thrown F_1,Sig. str. % F_1,Total str. landed F_1,Total str. thrown F_1,Td completed F_1,Td attempted F_1,Td % F_1,Sub. att F_1,Rev. F_1,Ctrl F_1,Head landed F_1,Head thrown F_1,Body landed F_1,Body thrown F_1,Leg landed F_1,Leg thrown F_1,Distance landed F_1,Distance thrown F_1,Clinch landed F_1,Clinch thrown F_1,Ground landed F_1,Ground thrown F_1,Fighter 2,KD F_2,Sig. str. landed F_2,Sig. str. thrown F_2,Sig. str. % F_2,Total str. landed F_2,Total str. thrown F_2,Td completed F_2,Td attempted F_2,Td % F_2,Sub. att F_2,Rev. F_2,Ctrl F_2,Head landed F_2,Head thrown F_2,Body landed F_2,Body thrown F_2,Leg landed F_2,Leg thrown F_2,Distance landed F_2,Distance thrown F_2,Clinch landed F_2,Clinch thrown F_2,Ground landed F_2,Ground thrown F_2
UFC 246: McGregor vs. Cowboy,Sabina Mazo,0,118,323,0.36,121,327,0,0,,0,0,121.0,66,258,29,34,23,31,92,292,26,31,0,0,JJ Aldrich,0,58,144,0.4,69,156,0,0,,0,0,3.0,45,125,10,13,3,6,49,132,9,12,0,0
UFC 32: Showdown in the Meadowlands,Tony DeSouza,0,1,3,0.33,1,3,0,0,,2,0,32.0,1,3,0,0,0,0,1,3,0,0,0,0,Paul Rodriguez,0,2,2,1.0,2,2,0,1,0.0,0,0,0.0,0,0,0,0,2,2,2,2,0,0,0,0
UFC 166: Velasquez vs Dos Santos 3,Cain Velasquez,1,123,201,0.61,274,378,2,13,0.15,1,0,1048.0,96,168,7,8,20,25,44,84,66,99,13,18,Junior Dos Santos,0,46,122,0.37,62,140,0,1,0.0,1,0,2.0,36,106,10,16,0,0,24,84,21,37,1,1
UFC 200: Tate vs Nunes,Johny Hendricks,0,70,157,0.44,90,177,1,5,0.2,0,0,129.0,51,134,5,7,14,16,58,135,12,22,0,0,Kelvin Gastelum,0,124,249,0.49,134,259,0,1,0.0,0,0,21.0,89,211,19,22,16,16,114,235,10,14,0,0
UFC 98: Evans vs Machida,Brock Larson,0,4,10,0.4,13,19,1,1,1.0,1,0,128.0,2,8,2,2,0,0,0,3,0,0,4,7,Mike Pyle,0,1,4,0.25,3,6,0,0,,0,0,0.0,1,1,0,0,0,3,0,3,1,1,0,0
UFC Fight Night: Barboza vs. Gaethje,Enrique Barzola,0,52,126,0.41,53,127,0,8,0.0,0,0,30.0,28,96,9,13,15,17,50,121,2,5,0,0,Kevin Aguilar,0,58,243,0.23,58,243,0,0,,0,0,0.0,36,208,20,31,2,4,58,240,0,3,0,0
UFC Fight Night: Covington vs. Lawler,Colby Covington,0,179,515,0.34,201,541,10,18,0.55,0,0,523.0,128,454,20,28,31,33,154,477,25,38,0,0,Robbie Lawler,0,78,167,0.46,82,171,0,0,,0,0,0.0,61,144,10,16,7,7,66,152,12,15,0,0
UFC Fight Night: Smith vs. Rakic,Anthony Smith,0,9,21,0.42,40,53,0,2,0.0,0,0,36.0,5,16,0,1,4,4,6,14,1,2,2,5,Aleksandar Rakic,1,44,57,0.77,141,159,0,0,,0,0,734.0,16,28,7,8,21,21,25,34,2,2,17,21
UFC Fight Night: Rodriguez vs. Caceres,David Teymur,1,26,61,0.42,26,61,0,1,0.0,0,0,2.0,10,40,5,6,11,15,26,58,0,3,0,0,Jason Novelli,0,8,28,0.28,9,29,0,0,,0,0,23.0,3,18,2,5,3,5,7,25,1,3,0,0
UFC on FOX: Johnson vs Moraga,Michael Chiesa,1,24,53,0.45,35,66,2,5,0.4,0,0,162.0,18,46,5,6,1,1,23,51,1,1,0,1,Jorge Masvidal,0,24,38,0.63,66,86,0,0,,2,0,192.0,15,29,9,9,0,0,17,31,0,0,7,7
UFC on FOX: Maia vs. Condit,Sam Alvey,2,59,114,0.51,70,125,0,0,,0,0,31.0,36,88,13,15,10,11,29,72,17,19,13,23,Kevin Casey,0,25,51,0.49,31,58,0,2,0.0,0,0,156.0,11,35,7,9,7,7,21,47,4,4,0,0
UFC on FOX: Lawler vs Brown,Robbie Lawler,0,80,200,0.4,87,207,2,2,1.0,0,0,237.0,64,182,13,15,3,3,68,182,7,10,5,8,Matt Brown,0,82,242,0.33,89,250,2,8,0.25,0,0,70.0,45,182,26,38,11,22,69,228,13,14,0,0
UFC 57: Liddell vs Couture 3,Joe Riggs,0,51,116,0.43,69,135,3,8,0.37,0,0,125.0,42,105,9,11,0,0,28,70,21,40,2,6,Nick Diaz,1,38,106,0.35,126,200,0,7,0.0,1,0,202.0,23,82,10,17,5,7,15,68,21,34,2,4
UFC Fight Night: Jacare vs. Brunson 2,Randa Markos,0,46,65,0.7,114,149,2,7,0.28,0,1,552.0,11,25,10,11,25,29,4,14,29,33,13,18,Juliana Lima,0,18,37,0.48,34,56,1,2,0.5,0,0,190.0,5,11,5,11,8,15,6,23,12,14,0,0
UFC Fight Night: Dern vs. Rodriguez,Randy Brown,0,115,235,0.48,117,237,0,1,0.0,0,0,6.0,81,196,25,29,9,10,109,227,5,7,1,1,Jared Gooden,0,81,156,0.51,87,162,0,0,,0,0,44.0,19,76,27,36,35,44,78,151,3,3,0,2
UFC 175: Weidman vs Machida,Luke Zachrich,0,66,226,0.29,66,226,1,1,1.0,0,0,1.0,49,205,8,11,9,10,66,223,0,3,0,0,Guilherme Vasconcelos,0,49,166,0.29,49,166,0,3,0.0,0,0,0.0,29,135,9,19,11,12,48,164,1,2,0,0
UFC Fight Night: Gonzaga vs Cro Cop 2,Daniel Omielanczuk,0,36,44,0.81,81,91,1,3,0.33,0,0,90.0,16,23,17,18,3,3,3,5,27,33,6,6,Anthony Hamilton,0,83,100,0.83,113,131,3,4,0.75,0,0,746.0,29,44,51,53,3,3,3,12,44,47,36,41
Ortiz vs Shamrock 3: The Final Chapter,Rory Singer,0,50,123,0.4,57,130,0,1,0.0,0,0,76.0,44,117,5,5,1,1,38,100,12,22,0,1,Josh Haynes,1,23,101,0.22,32,113,1,6,0.16,0,0,174.0,15,87,4,9,4,5,12,74,2,7,9,20
UFC on FUEL TV: Barao vs McDonald,Tom Watson,1,56,102,0.54,72,118,0,0,,0,0,264.0,31,66,23,34,2,2,3,16,50,81,3,5,Stanislav Nedkov,0,39,78,0.5,61,102,5,6,0.83,0,0,160.0,26,62,13,16,0,0,5,18,19,29,15,31
UFC 193: Rousey vs Holm,Kyle Noke,1,23,43,0.53,24,44,0,0,,0,0,0.0,13,30,2,4,8,9,11,21,0,0,12,22,Peter Sobotta,0,2,6,0.33,2,6,0,0,,0,0,14.0,2,5,0,1,0,0,2,6,0,0,0,0
UFC Fight Night: Brunson vs. Shahbazyan,Jamall Emmers,0,103,196,0.52,113,209,5,7,0.71,0,0,347.0,58,143,37,44,8,9,78,164,23,30,2,2,Vince Cachero,0,76,152,0.5,121,201,0,2,0.0,0,0,28.0,58,127,10,15,8,10,62,132,11,17,3,3
UFC on FUEL TV: Munoz vs Weidman,Chris Cariaso,0,70,104,0.67,114,150,3,6,0.5,0,0,258.0,48,82,18,18,4,4,34,65,20,23,16,16,Josh Ferguson,0,20,65,0.3,33,79,1,8,0.12,0,0,231.0,12,56,7,8,1,1,15,58,5,7,0,0
UFC Fight Night: Cerrone vs. Medeiros,Thiago Alves,0,33,106,0.31,37,110,1,1,1.0,0,0,14.0,3,63,3,3,27,40,33,106,0,0,0,0,Curtis Millender,2,47,106,0.44,47,106,0,0,,0,0,15.0,31,85,7,10,9,11,44,100,0,0,3,6
UFC Fight Night - Fight for the Troops,Steve Cantwell,0,15,29,0.51,19,33,1,1,1.0,1,0,78.0,9,22,4,5,2,2,12,24,1,2,2,3,Razak Al-Hassan,0,13,56,0.23,15,58,0,1,0.0,0,0,17.0,5,46,2,3,6,7,12,53,1,3,0,0
UFC on FOX: Diaz vs Miller,John Dodson,0,80,233,0.34,83,236,2,4,0.5,0,0,12.0,54,200,17,24,9,9,78,226,2,6,0,1,Tim Elliott,0,79,225,0.35,81,227,0,5,0.0,0,0,2.0,64,192,11,28,4,5,67,203,12,22,0,0
UFC 106: Ortiz vs Griffin 2,Josh Koscheck,0,19,53,0.35,40,74,2,4,0.5,1,0,239.0,15,44,2,5,2,4,10,38,0,0,9,15,Anthony Johnson,0,16,72,0.22,17,74,0,1,0.0,0,0,43.0,9,58,0,4,7,10,15,70,0,0,1,2
UFC 79: Nemesis,Eddie Sanchez,0,52,115,0.45,145,212,1,5,0.2,0,0,201.0,39,98,9,10,4,7,28,79,24,35,0,1,Soa Palelei,0,21,37,0.56,27,43,1,1,1.0,0,0,349.0,6,18,8,12,7,7,5,15,16,20,0,2
UFC 214: Cormier vs. Jones 2,Eric Shelton,0,31,87,0.35,65,123,1,2,0.5,1,0,37.0,26,79,5,8,0,0,19,73,1,2,11,12,Jarred Brooks,0,27,80,0.33,32,87,5,8,0.62,1,0,218.0,15,66,7,9,5,5,20,72,2,3,5,5
UFC Fight Night: Smith vs. Clark,Anthony Smith,0,1,4,0.25,4,8,1,1,1.0,1,0,78.0,1,4,0,0,0,0,0,2,0,0,1,2,Devin Clark,0,1,3,0.33,27,30,0,0,,0,1,67.0,1,3,0,0,0,0,1,3,0,0,0,0
UFC 11: The Proving Ground,David Abbott,0,8,9,0.88,16,17,1,1,1.0,1,0,,5,6,3,3,0,0,0,0,0,0,8,9,Sam Adkins,0,0,2,0.0,3,5,0,0,,0,0,,0,2,0,0,0,0,0,2,0,0,0,0
UFC 229: Khabib vs. McGregor,Tony Ferguson,0,114,194,0.58,115,195,0,0,,0,0,4.0,66,131,21,32,27,31,106,181,4,7,4,6,Anthony Pettis,1,45,99,0.45,49,104,0,0,,0,0,71.0,32,80,9,13,4,6,38,90,2,3,5,6
The Ultimate Fighter: Team Rampage vs Team Forrest Finale,Rob Kimmons,0,9,13,0.69,25,29,1,1,1.0,4,0,93.0,9,13,0,0,0,0,1,2,0,0,8,11,Rob Yundt,0,5,6,0.83,45,46,1,1,1.0,0,0,132.0,0,1,5,5,0,0,1,1,0,0,4,5
UFC 249: Ferguson vs. Gaethje,Bryce Mitchell,0,40,49,0.81,60,74,3,3,1.0,5,0,771.0,27,36,13,13,0,0,0,3,0,0,40,46,Charles Rosa,0,5,10,0.5,12,17,0,0,,0,0,0.0,2,7,1,1,2,2,4,8,0,0,1,2
UFC 142: Aldo vs Mendes,Rousimar Palhares,0,4,8,0.5,4,8,0,1,0.0,1,0,1.0,0,3,0,0,4,5,4,7,0,1,0,0,Mike Massenzio,0,0,6,0.0,0,6,0,0,,0,0,2.0,0,5,0,0,0,1,0,6,0,0,0,0
UFC 254: Khabib vs. Gaethje,Stefan Struve,0,13,19,0.68,13,19,0,1,0.0,0,0,0.0,4,6,4,8,5,5,13,19,0,0,0,0,Tai Tuivasa,1,27,42,0.64,48,63,0,0,,0,0,104.0,15,28,4,4,8,10,14,28,10,11,3,3
UFC 229: Khabib vs. McGregor,Michelle Waterson,0,76,107,0.71,131,163,0,4,0.0,0,0,169.0,47,73,26,29,3,5,16,41,34,38,26,28,Felice Herrig,0,51,100,0.51,70,126,1,4,0.25,0,0,358.0,15,51,26,36,10,13,19,60,30,37,2,3
UFC 76: Knockout,Rich Clementi,0,12,24,0.5,43,57,1,2,0.5,2,1,162.0,9,18,0,1,3,5,5,15,1,3,6,6,Anthony Johnson,1,22,50,0.44,25,54,1,2,0.5,3,1,143.0,15,41,5,6,2,3,7,28,4,7,11,15
UFC Fight Night: Overeem vs. Rozenstruik,Rob Font,0,90,202,0.44,100,212,1,1,1.0,0,0,11.0,78,188,10,12,2,2,84,192,6,10,0,0,Ricky Simon,0,59,154,0.38,65,161,6,16,0.37,0,0,198.0,45,136,10,13,4,5,46,141,11,11,2,2
UFC Fight Night: Blaydes vs. Lewis,Aiemann Zahabi,1,9,11,0.81,9,11,0,0,,0,0,10.0,8,10,1,1,0,0,6,7,1,2,2,2,Drako Rodriguez,0,11,33,0.33,13,35,0,0,,0,0,0.0,6,27,1,2,4,4,8,30,3,3,0,0
UFC 219: Cyborg vs. Holm,Dan Hooker,0,17,40,0.42,24,48,2,3,0.66,1,0,192.0,3,16,3,10,11,14,17,40,0,0,0,0,Marc Diakiese,0,24,69,0.34,41,87,0,5,0.0,0,1,23.0,9,34,4,9,11,26,23,68,1,1,0,0
UFC 215: Nunes vs Shevchenko 2,Mitch Clarke,0,28,83,0.33,34,90,0,4,0.0,0,0,26.0,11,41,8,19,9,23,18,69,10,13,0,1,Alex White,3,57,115,0.49,62,122,0,0,,0,0,15.0,46,100,10,13,1,2,28,75,28,37,1,3
UFC Fight Night: Saffiedine vs Lim,Kiichi Kunimoto,0,12,23,0.52,12,23,0,3,0.0,0,0,57.0,9,19,0,0,3,4,7,18,5,5,0,0,Luiz Dutra,0,10,18,0.55,17,25,0,0,,0,0,0.0,5,13,4,4,1,1,9,17,1,1,0,0
UFC 18: The Road to the Heavyweight Title,Bas Rutten,1,31,61,0.5,70,100,0,0,,0,0,,21,50,3,4,7,7,18,42,9,15,4,4,Tsuyoshi Kohsaka,0,23,47,0.48,120,154,3,9,0.33,0,0,,16,38,4,5,3,4,6,14,2,2,15,31
UFC Live: Hardy vs Lytle,Ronny Markes,0,40,52,0.76,142,183,6,6,1.0,0,0,778.0,10,22,17,17,13,13,9,19,23,23,8,10,Karlos Vemola,0,8,24,0.33,44,67,0,4,0.0,1,0,36.0,6,22,2,2,0,0,8,24,0,0,0,0
UFC on FOX: Dillashaw vs. Barao II,Daron Cruickshank,0,6,19,0.31,6,19,0,0,,0,0,3.0,3,15,3,4,0,0,5,18,1,1,0,0,James Krause,0,10,15,0.66,10,15,1,1,1.0,1,0,10.0,5,10,3,3,2,2,9,14,1,1,0,0
UFC on FUEL TV: Gustafsson vs Silva,Jason Young,0,44,86,0.51,133,179,4,6,0.66,0,0,511.0,19,56,6,6,19,24,18,54,8,8,18,24,Eric Wisely,0,36,69,0.52,118,157,0,1,0.0,0,0,9.0,15,47,11,11,10,11,33,66,3,3,0,0
UFC Fight Night: Holm vs. Aldana,Kyler Phillips,0,32,78,0.41,34,80,2,2,1.0,0,0,145.0,22,63,5,8,5,7,13,41,0,0,19,37,Cameron Else,0,11,30,0.36,20,43,0,0,,0,0,3.0,4,20,6,8,1,2,10,28,0,0,1,2
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,Andrew Sanchez,0,31,43,0.72,118,159,6,12,0.5,0,0,722.0,23,33,5,7,3,3,10,18,0,0,21,25,Khalil Rountree Jr.,0,14,27,0.51,58,76,0,0,,0,0,0.0,13,25,1,2,0,0,5,18,3,3,6,6
UFC 172: Jones vs Teixeira,Chris Beal,1,19,49,0.38,19,50,0,0,,0,0,4.0,16,45,2,3,1,1,8,30,11,19,0,0,Patrick Williams,0,14,35,0.4,15,37,2,3,0.66,0,0,36.0,6,20,2,6,6,9,11,28,3,6,0,1
UFC 156: Aldo vs Edgar,Jon Fitch,0,6,16,0.37,36,55,0,0,,1,0,33.0,3,12,1,2,2,2,5,14,0,1,1,1,Demian Maia,0,12,17,0.7,63,74,7,17,0.41,3,0,771.0,7,11,1,2,4,4,1,5,3,4,8,8
UFC Live: Vera vs Jones,John Howard,0,6,8,0.75,8,11,1,1,1.0,0,0,49.0,4,6,0,0,2,2,2,4,0,0,4,4,Daniel Roberts,0,7,17,0.41,21,33,1,1,1.0,1,1,55.0,7,17,0,0,0,0,1,4,0,0,6,13
The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,Clay Guida,0,19,65,0.29,63,112,5,8,0.62,0,1,617.0,8,54,2,2,9,9,8,40,5,6,6,19,Anthony Pettis,0,14,51,0.27,42,80,0,0,,1,0,41.0,12,47,0,2,2,2,11,47,1,2,2,2
UFC on FUEL TV: Silva vs. Stann,Yushin Okami,0,37,89,0.41,65,120,3,5,0.6,0,0,261.0,24,74,9,9,4,6,25,75,8,8,4,6,Hector Lombard,0,45,89,0.5,109,158,0,3,0.0,0,0,230.0,30,71,12,14,3,4,40,81,4,6,1,2
UFC Fight Night: Costa vs. Vettori,Livinha Souza,0,11,27,0.4,51,71,3,6,0.5,2,0,211.0,7,23,3,3,1,1,6,20,3,5,2,2,Randa Markos,0,65,96,0.67,159,207,0,0,,0,2,527.0,55,85,7,8,3,3,29,55,20,25,16,16
UFC Fight Night: Henderson vs Dos Anjos,Wilson Reis,0,22,67,0.32,70,138,9,14,0.64,1,0,395.0,13,55,2,5,7,7,18,61,2,4,2,2,Joby Sanchez,1,20,86,0.23,36,102,0,0,,0,1,16.0,16,75,4,11,0,0,15,74,0,3,5,9
UFC on FX: Sotiropoulos vs Pearson,Igor Pokrajac,0,48,94,0.51,63,111,0,2,0.0,0,0,116.0,39,84,6,7,3,3,34,77,14,17,0,0,Joey Beltran,0,65,139,0.46,206,299,0,3,0.0,0,0,567.0,32,101,22,27,11,11,20,87,45,52,0,0
UFC 34: High Voltage,Randy Couture,0,41,52,0.78,98,111,3,5,0.6,0,0,348.0,27,38,1,1,13,13,18,26,4,4,19,22,Pedro Rizzo,0,13,34,0.38,20,42,1,1,1.0,0,0,3.0,8,28,1,1,4,5,9,30,4,4,0,0
UFC Fight Night: Edgar vs. The Korean Zombie,Raoni Barcelos,0,42,100,0.42,52,112,2,5,0.4,0,0,159.0,16,61,8,16,18,23,32,85,5,9,5,6,Said Nurmagomedov,0,55,172,0.31,77,200,0,2,0.0,0,0,14.0,24,131,10,18,21,23,49,162,2,5,4,5
UFC 113: Machida vs Shogun 2,Marcus Davis,2,11,17,0.64,16,22,0,0,,1,0,46.0,9,14,2,3,0,0,5,11,3,3,3,3,Jonathan Goulet,0,5,16,0.31,19,30,4,5,0.8,0,0,211.0,5,15,0,1,0,0,1,4,0,0,4,12
UFC Fight Night: Arlovski vs. Barnett,Scott Askham,0,37,106,0.34,49,120,0,3,0.0,2,0,105.0,8,62,21,33,8,11,23,83,13,22,1,1,Jack Hermansson,0,88,156,0.56,121,190,1,6,0.16,0,0,196.0,39,98,21,22,28,36,57,114,30,40,1,2
UFC 162: Silva vs Weidman,Mike Pierce,1,17,41,0.41,25,49,0,4,0.0,0,0,280.0,11,34,4,5,2,2,4,17,9,16,4,8,David Mitchell,0,17,44,0.38,81,110,0,0,,0,0,17.0,0,25,17,19,0,0,0,18,17,26,0,0
UFC 60: Hughes vs Gracie,Jeremy Horn,0,3,5,0.6,5,7,0,0,,4,0,0.0,3,5,0,0,0,0,1,3,0,0,2,2,Chael Sonnen,0,6,18,0.33,34,52,3,3,1.0,0,0,347.0,5,17,1,1,0,0,1,2,0,0,5,16
UFC 229: Khabib vs. McGregor,Vicente Luque,1,41,64,0.64,41,64,0,0,,0,0,4.0,25,48,2,2,14,14,31,51,2,4,8,9,Jalin Turner,0,31,58,0.53,31,58,0,0,,0,0,0.0,25,50,5,6,1,2,31,58,0,0,0,0
UFC Fight Night: Benavidez vs. Figueiredo,Marcin Tybura,0,43,106,0.4,116,199,2,8,0.25,0,0,502.0,36,90,7,16,0,0,15,63,5,8,23,35,Serghei Spivac,0,26,83,0.31,40,101,0,1,0.0,0,0,0.0,23,80,3,3,0,0,20,74,6,9,0,0
UFC 199: Rockhold vs. Bisping 2,Marco Polo Reyes,2,135,299,0.45,147,312,0,0,,0,0,84.0,100,251,31,41,4,7,109,254,14,25,12,20,Dong Hyun Ma,0,83,197,0.42,99,214,2,3,0.66,0,0,88.0,76,187,4,7,3,3,67,171,16,26,0,0
UFC 165: Jones vs Gustafsson,John Makdessi,1,20,39,0.51,20,39,0,0,,0,0,8.0,11,26,5,7,4,6,11,23,0,0,9,16,Renee Forte,0,7,27,0.25,7,27,0,0,,0,0,0.0,3,21,2,4,2,2,7,27,0,0,0,0
UFC 53: Heavy Hitters,Nate Quarry,2,19,30,0.63,46,57,0,0,,0,0,36.0,15,23,4,5,0,2,7,12,6,11,6,7,Shonie Carter,0,6,19,0.31,11,25,0,0,,0,0,42.0,2,10,1,3,3,6,3,12,3,7,0,0
UFC Fight Night: Edwards vs. Muhammad,Manel Kape,0,61,150,0.4,73,165,0,0,,0,0,38.0,37,120,10,16,14,14,58,145,1,2,2,3,Matheus Nicolau,0,55,102,0.53,76,132,2,9,0.22,1,0,151.0,27,66,21,26,7,10,50,96,2,2,3,4
UFC 75: Champion vs Champion,Marcus Davis,0,24,40,0.6,32,48,1,3,0.33,1,0,151.0,22,37,2,3,0,0,7,15,1,2,16,23,Paul Taylor,1,16,30,0.53,26,41,0,0,,0,1,66.0,12,25,2,2,2,3,6,15,3,4,7,11
UFC 234: Adesanya vs. Silva,Teruto Ishihara,1,17,47,0.36,18,48,0,0,,0,0,12.0,12,36,1,5,4,6,11,35,6,10,0,2,Kyung Ho Kang,1,26,58,0.44,30,62,1,1,1.0,1,0,74.0,19,46,7,12,0,0,15,40,11,18,0,0
UFC 5: The Return of the Beast,Dan Severn,0,2,3,0.66,11,13,1,1,1.0,1,0,,1,1,0,1,1,1,0,0,1,2,1,1,Dave Beneteau,0,2,6,0.33,5,10,0,0,,0,0,,2,6,0,0,0,0,0,1,2,5,0,0
UFC Fight Night: Smith vs. Rakic,Polyana Viana,0,9,15,0.6,18,24,0,1,0.0,1,0,0.0,6,12,0,0,3,3,6,12,0,0,3,3,Emily Whitmire,0,2,11,0.18,5,15,0,1,0.0,0,0,62.0,1,9,0,1,1,1,2,11,0,0,0,0
UFC 101: Declaration,Jesse Lennox,0,37,114,0.32,39,121,1,2,0.5,0,0,67.0,24,94,11,18,2,2,24,93,5,9,8,12,Danillo Villefort,0,43,114,0.37,46,118,1,2,0.5,1,0,62.0,18,80,12,19,13,15,30,92,4,11,9,11
UFC 223: Khabib vs. Iaquinta,Devin Clark,0,50,64,0.78,167,200,7,11,0.63,0,0,685.0,30,38,12,16,8,10,17,24,19,24,14,16,Mike Rodriguez,0,40,66,0.6,66,95,0,0,,0,0,38.0,17,39,21,23,2,4,11,35,27,29,2,2
UFC Fight Night: Joanna vs. Waterson,JJ Aldrich,0,74,160,0.46,78,164,1,2,0.5,0,0,112.0,59,142,10,11,5,7,70,151,4,9,0,0,Lauren Mueller,0,54,147,0.36,60,153,1,1,1.0,0,0,21.0,34,117,10,20,10,10,52,145,2,2,0,0
UFC Fight Night: Santos vs. Teixeira,Gustavo Lopez,0,26,43,0.6,33,50,2,3,0.66,1,0,66.0,17,33,9,10,0,0,15,27,5,7,6,9,Anthony Birchak,0,17,40,0.42,18,41,0,0,,0,0,0.0,8,27,5,9,4,4,12,33,3,5,2,2
UFC 224: Nunes vs. Pennington,Amanda Nunes,0,124,254,0.48,152,288,3,4,0.75,0,0,269.0,72,171,31,46,21,37,96,219,15,19,13,16,Raquel Pennington,0,64,169,0.37,79,186,1,8,0.12,0,0,133.0,49,148,10,15,5,6,56,160,7,8,1,1
UFC 135: Jones vs Rampage,James Te Huna,1,5,7,0.71,6,9,0,0,,0,0,10.0,5,7,0,0,0,0,1,1,0,2,4,4,Ricardo Romero,0,0,3,0.0,0,3,0,3,0.0,0,0,0.0,0,3,0,0,0,0,0,3,0,0,0,0
UFC 47: It's On!,Jonathan Wiezorek,0,10,10,1.0,37,37,1,4,0.25,0,0,111.0,10,10,0,0,0,0,0,0,2,2,8,8,Wade Shipp,0,20,23,0.86,42,48,0,0,,0,0,44.0,11,14,7,7,2,2,4,6,15,16,1,1
UFC 240: Holloway vs. Edgar,Geoff Neal,0,41,61,0.67,53,73,2,4,0.5,0,0,217.0,41,60,0,1,0,0,8,18,6,8,27,35,Niko Price,1,24,57,0.42,42,79,0,2,0.0,0,1,54.0,15,41,7,14,2,2,14,39,6,8,4,10
UFC Fight Night: Santos vs. Walker,Joe Solecki,0,38,69,0.55,70,102,4,7,0.57,0,0,363.0,31,62,5,5,2,2,25,56,4,4,9,9,Jared Gordon,0,51,86,0.59,83,122,1,2,0.5,0,1,247.0,32,60,12,18,7,8,33,68,15,15,3,3
UFC 60: Hughes vs Gracie,Diego Sanchez,0,9,67,0.13,25,87,1,16,0.06,0,0,262.0,8,62,1,5,0,0,7,64,2,3,0,0,John Alessio,0,17,57,0.29,23,63,0,0,,1,0,0.0,15,54,0,1,2,2,16,55,1,2,0,0
UFC Fight Night: Rockhold vs. Branch,Kamaru Usman,1,16,48,0.33,16,48,0,0,,0,0,5.0,8,35,4,6,4,7,15,46,0,0,1,2,Sergio Moraes,0,13,27,0.48,13,27,0,0,,0,0,0.0,10,23,3,3,0,1,13,27,0,0,0,0
UFC 23: Ultimate Japan 2,Kenichi Yamamoto,0,1,4,0.25,1,4,0,0,,1,0,0.0,0,3,1,1,0,0,0,3,1,1,0,0,Katsuhisa Fujii,0,27,63,0.42,93,135,2,3,0.66,0,0,528.0,25,61,1,1,1,1,1,1,1,1,25,61
UFC 236: Holloway vs. Poirier 2,Montel Jackson,0,64,107,0.59,160,218,3,4,0.75,0,1,464.0,38,78,17,19,9,10,38,78,11,14,15,15,Andre Soukhamthath,0,30,62,0.48,41,73,1,1,1.0,0,0,5.0,6,33,7,10,17,19,26,58,4,4,0,0
The Ultimate Fighter: Heavy Hitters Finale,Rafael Dos Anjos,0,62,112,0.55,84,138,0,1,0.0,2,1,21.0,27,74,19,20,16,18,35,83,22,24,5,5,Kamaru Usman,0,130,223,0.58,227,334,12,18,0.66,0,0,1107.0,95,183,29,34,6,6,48,111,33,43,49,69
UFC Fight Night: Rodriguez vs. Stephens,Jose Quinonez,1,60,117,0.51,71,130,2,5,0.4,0,0,253.0,36,80,8,13,16,24,40,92,0,1,20,24,Carlos Huachin,0,32,115,0.27,37,121,0,0,,0,0,0.0,22,84,6,25,4,6,30,109,0,2,2,4
UFC on FUEL TV: Korean Zombie vs Poirier,Rafael Dos Anjos,1,5,10,0.5,11,17,0,0,,1,0,35.0,4,9,1,1,0,0,2,6,0,0,3,4,Kamal Shalorus,0,2,12,0.16,2,12,0,1,0.0,0,0,0.0,1,11,1,1,0,0,1,11,1,1,0,0
UFC Fight Night: Whittaker vs. Till,Alex Oliveira,1,45,93,0.48,48,96,0,0,,0,0,26.0,19,51,16,29,10,13,37,85,7,7,1,1,Peter Sobotta,0,29,67,0.43,30,68,0,3,0.0,0,0,47.0,13,46,7,11,9,10,29,67,0,0,0,0
UFC Fight Night: Cerrone vs. Medeiros,Robert Sanchez,0,2,3,0.66,2,3,3,3,1.0,1,0,90.0,1,2,0,0,1,1,2,3,0,0,0,0,Joby Sanchez,0,1,5,0.2,5,9,0,0,,0,0,0.0,1,5,0,0,0,0,1,5,0,0,0,0
UFC Fight Night: Reyes vs. Weidman,Deron Winn,0,29,53,0.54,66,98,6,15,0.4,0,1,482.0,25,49,1,1,3,3,11,31,7,11,11,11,Darren Stewart,0,57,119,0.47,77,140,1,1,1.0,0,0,30.0,54,115,3,4,0,0,31,88,14,17,12,14
UFC Fight Night: Lee vs. Iaquinta,Kevin Lee,0,102,296,0.34,121,319,3,5,0.6,0,0,325.0,80,267,14,21,8,8,81,273,1,1,20,22,Al Iaquinta,0,111,228,0.48,113,230,0,7,0.0,0,0,14.0,82,189,19,28,10,11,110,226,0,0,1,2
UFC Fight Night: Barboza vs. Chikadze,Edson Barboza,0,33,95,0.34,33,95,0,0,,0,0,0.0,15,70,10,15,8,10,33,95,0,0,0,0,Giga Chikadze,2,60,117,0.51,70,128,0,0,,2,0,41.0,31,80,16,22,13,15,56,113,0,0,4,4
UFC 251: Usman vs. Masvidal,Karol Rosa,0,120,228,0.52,177,289,2,4,0.5,0,0,350.0,82,180,11,16,27,32,87,178,1,1,32,49,Vanessa Melo,0,45,135,0.33,78,168,0,2,0.0,0,0,6.0,22,103,5,10,18,22,43,133,2,2,0,0
