Event,Fighter 1,KD F_1,Sig. str. landed F_1,Sig. str. thrown F_1,Sig. str. % F_1,Total str. landed F_1,Total str. thrown F_1,Td completed F_1,Td attempted F_1,Td % F_1,Sub. att F_1,Rev. F_1,Ctrl F_1,Head landed F_1,Head thrown F_1,Body landed F_1,Body thrown F_1,Leg landed F_1,Leg thrown F_1,Distance landed F_1,Distance thrown F_1,Clinch landed F_1,Clinch thrown F_1,Ground landed F_1,Ground thrown F_1,Fighter 2,KD F_2,Sig. str. landed F_2,Sig. str. thrown F_2,Sig. str. % F_2,Total str. landed F_2,Total str. thrown F_2,Td completed F_2,Td attempted F_2,Td % F_2,Sub. att F_2,Rev. F_2,Ctrl F_2,Head landed F_2,Head thrown F_2,Body landed F_2,Body thrown F_2,Leg landed F_2,Leg thrown F_2,Distance landed F_2,Distance thrown F_2,Clinch landed F_2,Clinch thrown F_2,Ground landed F_2,Ground thrown F_2
UFC Fight Night: Marreta vs. Anders,Sam Alvey,0,34,82,0.41,34,82,0,0,,0,0,0.0,20,67,2,2,12,13,32,79,2,3,0,0,Rogerio Nogueira,1,26,52,0.5,26,53,0,0,,0,0,3.0,20,44,5,7,1,1,20,42,4,7,2,3
UFC Fight Night: Weidman vs. Gastelum,Kyle Bochniak,0,23,54,0.42,43,76,0,0,,0,0,0.0,13,43,3,3,7,8,22,51,0,0,1,3,Jeremy Kennedy,0,41,94,0.43,59,118,8,14,0.57,0,0,697.0,30,82,6,7,5,5,13,44,7,11,21,39
UFC 122: Marquardt vs Okami,Nate Marquardt,0,21,61,0.34,27,68,3,4,0.75,2,0,172.0,12,46,5,10,4,5,16,51,5,8,0,2,Yushin Okami,0,25,83,0.3,40,98,1,9,0.11,0,0,249.0,23,80,2,3,0,0,22,80,2,2,1,1
UFC 168: Weidman vs Silva 2,Ronda Rousey,0,40,63,0.63,134,161,6,8,0.75,3,0,424.0,24,46,6,7,10,10,7,24,17,21,16,18,Miesha Tate,0,24,50,0.48,28,54,1,3,0.33,0,1,119.0,20,45,4,5,0,0,13,31,10,18,1,1
UFC Fight Night: Felder vs. Hooker,Kevin Aguilar,0,9,28,0.32,9,28,0,0,,0,0,0.0,4,22,3,4,2,2,9,28,0,0,0,0,Zubaira Tukhugov,2,28,36,0.77,28,37,0,0,,0,0,9.0,26,34,2,2,0,0,15,22,0,0,13,14
UFC 135: Jones vs Rampage,Nate Diaz,1,36,73,0.49,42,81,0,0,,3,0,23.0,34,71,2,2,0,0,34,71,2,2,0,0,Takanori Gomi,0,4,23,0.17,6,25,0,1,0.0,0,0,37.0,1,16,3,7,0,0,3,21,0,0,1,2
UFC on FX: Belfort vs Bisping,Ronny Markes,0,5,9,0.55,28,32,2,12,0.16,2,0,529.0,3,7,1,1,1,1,3,7,1,1,1,1,Andrew Craig,0,20,29,0.68,90,106,0,1,0.0,0,1,179.0,12,21,7,7,1,1,5,13,6,6,9,10
UFC 171: Hendricks vs Lawler,Diego Sanchez,0,25,93,0.26,37,105,0,0,,2,0,49.0,10,64,12,21,3,8,21,89,3,3,1,1,Myles Jury,0,46,119,0.38,54,129,3,3,1.0,0,0,187.0,35,104,3,6,8,9,40,111,2,2,4,6
UFC on FUEL TV: Korean Zombie vs Poirier,Jeff Curran,0,31,152,0.2,31,152,0,2,0.0,0,0,0.0,21,133,5,12,5,7,30,151,1,1,0,0,Johnny Eduardo,0,51,154,0.33,51,154,0,0,,0,0,0.0,25,122,4,4,22,28,49,152,2,2,0,0
UFC 253: Adesanya vs. Costa,Juan Espino,0,10,17,0.58,21,29,5,7,0.71,1,0,156.0,9,14,1,1,0,2,2,7,0,0,8,10,Jeff Hughes,0,0,1,0.0,0,1,0,0,,0,0,0.0,0,0,0,0,0,1,0,1,0,0,0,0
UFC Fight Night: Brunson vs. Machida,Antonio Carlos Junior,0,11,27,0.4,35,51,1,1,1.0,1,0,189.0,9,23,0,2,2,2,5,16,0,1,6,10,Jack Marshman,0,1,15,0.06,4,18,0,0,,0,0,0.0,0,13,1,1,0,1,1,15,0,0,0,0
UFC 190: Rousey vs Correia,Demian Maia,0,13,17,0.76,56,68,2,2,1.0,1,0,447.0,13,17,0,0,0,0,0,0,0,0,13,17,Neil Magny,0,0,4,0.0,11,16,0,0,,0,0,2.0,0,4,0,0,0,0,0,4,0,0,0,0
UFC 103: Franklin vs Belfort,Tyson Griffin,1,67,149,0.44,72,154,0,0,,0,0,17.0,38,110,7,11,22,28,52,118,2,5,13,26,Hermes Franca,0,11,71,0.15,12,72,0,0,,0,0,0.0,5,61,1,2,5,8,10,66,1,5,0,0
