W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,Event
,Paulo Costa  Marvin Vettori,,,View Matchup,,Light Heavyweight,,,,"UFC Fight Night: Costa vs. Vettori  October 23, 2021"
,Grant Dawson  Ricky Glenn,,,View Matchup,,Lightweight,,,,"UFC Fight Night: Costa vs. Vettori  October 23, 2021"
,Jessica-Rose Clark  Joselyne Edwards,,,View Matchup,,Women's Bantamweight,,,,"UFC Fight Night: Costa vs. Vettori  October 23, 2021"
,Alex Caceres  SeungWoo Choi,,,View Matchup,,Featherweight,,,,"UFC Fight Night: Costa vs. Vettori  October 23, 2021"
,Francisco Trinaldo  Dwight Grant,,,View Matchup,,Welterweight,,,,"UFC Fight Night: Costa vs. Vettori  October 23, 2021"
win,Nicolae Negumereanu  Ike Villanueva,0  0,11  7,0  0,0  0,Light Heavyweight,KO/TKO  Punches,1.0,1:18,"UFC Fight Night: Costa vs. Vettori  October 23, 2021"
win,Gregory Rodrigues  Junyong Park,0  0,68  56,2  0,0  0,Middleweight,KO/TKO  Punch,2.0,3:13,"UFC Fight Night: Costa vs. Vettori  October 23, 2021"
win,Mason Jones  David Onama,0  0,87  90,8  0,0  0,Lightweight,U-DEC,3.0,5:00,"UFC Fight Night: Costa vs. Vettori  October 23, 2021"
win,Tabatha Ricci  Maria Oliveira,0  0,62  66,5  0,0  0,Women's Strawweight,U-DEC,3.0,5:00,"UFC Fight Night: Costa vs. Vettori  October 23, 2021"
win,Jamie Pickett  Laureano Staropoli,0  0,47  25,2  1,0  0,Middleweight,U-DEC,3.0,5:00,"UFC Fight Night: Costa vs. Vettori  October 23, 2021"
win,Jai Herbert  Khama Worthy,1  0,24  11,0  0,0  0,Lightweight,KO/TKO  Punches,1.0,2:47,"UFC Fight Night: Costa vs. Vettori  October 23, 2021"
win,Jeff Molina  Daniel Da Silva,1  0,47  20,0  0,0  0,Flyweight,KO/TKO  Punches,2.0,0:46,"UFC Fight Night: Costa vs. Vettori  October 23, 2021"
win,Randa Markos  Livinha Souza,0  0,65  11,0  3,0  2,Women's Strawweight,U-DEC,3.0,5:00,"UFC Fight Night: Costa vs. Vettori  October 23, 2021"
win,Jonathan Martinez  Zviad Lazishvili,0  0,92  63,0  0,0  0,Bantamweight,U-DEC,3.0,5:00,"UFC Fight Night: Costa vs. Vettori  October 23, 2021"
win,Norma Dumont  Aspen Ladd,0  0,65  33,1  0,0  0,Women's Featherweight,U-DEC,5.0,5:00,"UFC Fight Night: Ladd vs. Dumont  October 16, 2021"
win,Andrei Arlovski  Carlos Felipe,0  0,83  73,0  0,0  0,Heavyweight,U-DEC,3.0,5:00,"UFC Fight Night: Ladd vs. Dumont  October 16, 2021"
win,Jim Miller  Erick Gonzalez,1  0,32  14,1  1,0  0,Lightweight,KO/TKO  Punch,2.0,0:14,"UFC Fight Night: Ladd vs. Dumont  October 16, 2021"
win,Manon Fiorot  Mayra Bueno Silva,0  0,91  48,2  0,0  0,Women's Flyweight,U-DEC,3.0,5:00,"UFC Fight Night: Ladd vs. Dumont  October 16, 2021"
win,Nate Landwehr  Ludovit Klein,0  0,71  42,1  0,2  0,Featherweight,SUB  Anaconda Choke,3.0,2:22,"UFC Fight Night: Ladd vs. Dumont  October 16, 2021"
win,Bruno Silva  Andrew Sanchez,0  0,70  33,0  7,0  0,Middleweight,KO/TKO  Punches,3.0,2:35,"UFC Fight Night: Ladd vs. Dumont  October 16, 2021"
win,Danny Roberts  Ramazan Emeev,0  0,34  40,1  2,0  1,Welterweight,S-DEC,3.0,5:00,"UFC Fight Night: Ladd vs. Dumont  October 16, 2021"
win,Luana Carolina  Loopy Godinez,0  0,53  23,0  2,0  0,Women's Flyweight,U-DEC,3.0,5:00,"UFC Fight Night: Ladd vs. Dumont  October 16, 2021"
win,Danaa Batgerel  Brandon Davis,1  0,22  7,0  0,0  0,Bantamweight,KO/TKO  Punches,1.0,2:01,"UFC Fight Night: Ladd vs. Dumont  October 16, 2021"
win,Ariane Carnelossi  Istela Nunes,0  0,36  62,5  0,1  0,Women's Strawweight,SUB  Rear Naked Choke,3.0,2:57,"UFC Fight Night: Ladd vs. Dumont  October 16, 2021"
win,Marina Rodriguez  Mackenzie Dern,0  0,144  49,0  1,1  1,Women's Strawweight,U-DEC,5.0,5:00,"UFC Fight Night: Dern vs. Rodriguez  October 09, 2021"
win,Randy Brown  Jared Gooden,0  0,115  81,0  0,0  0,Welterweight,U-DEC,3.0,5:00,"UFC Fight Night: Dern vs. Rodriguez  October 09, 2021"
win,Matheus Nicolau  Tim Elliott,0  0,64  70,1  1,0  0,Flyweight,U-DEC,3.0,5:00,"UFC Fight Night: Dern vs. Rodriguez  October 09, 2021"
win,Mariya Agapova  Sabina Mazo,1  0,93  62,0  0,1  0,Women's Flyweight,SUB  Rear Naked Choke,3.0,0:53,"UFC Fight Night: Dern vs. Rodriguez  October 09, 2021"
win,Chris Gutierrez  Felipe Colares,0  0,96  41,0  1,0  0,Bantamweight,S-DEC,3.0,5:00,"UFC Fight Night: Dern vs. Rodriguez  October 09, 2021"
win,Alexandr Romanov  Jared Vanderaa,0  0,56  13,5  0,0  0,Heavyweight,KO/TKO  Punches,2.0,4:43,"UFC Fight Night: Dern vs. Rodriguez  October 09, 2021"
win,Damon Jackson  Charles Rosa,0  0,41  34,6  2,2  0,Featherweight,U-DEC,3.0,5:00,"UFC Fight Night: Dern vs. Rodriguez  October 09, 2021"
win,Loopy Godinez  Silvana Gomez Juarez,0  0,11  3,5  0,1  0,Women's Strawweight,SUB  Armbar,1.0,4:14,"UFC Fight Night: Dern vs. Rodriguez  October 09, 2021"
win,Steve Garcia  Charlie Ontiveros,0  2,34  7,3  0,0  0,Lightweight,KO/TKO  Punches,2.0,1:51,"UFC Fight Night: Dern vs. Rodriguez  October 09, 2021"
win,Thiago Santos  Johnny Walker,0  0,44  48,0  0,0  0,Light Heavyweight,U-DEC,5.0,5:00,"UFC Fight Night: Santos vs. Walker  October 02, 2021"
nc  nc,Kevin Holland  Kyle Daukaus,0  0,3  9,0  1,0  3,Middleweight,Other,1.0,3:43,"UFC Fight Night: Santos vs. Walker  October 02, 2021"
win,Niko Price  Alex Oliveira,0  0,64  65,1  1,0  0,Welterweight,U-DEC,3.0,5:00,"UFC Fight Night: Santos vs. Walker  October 02, 2021"
win,Krzysztof Jotko  Misha Cirkunov,0  0,41  41,1  5,0  0,Middleweight,S-DEC,3.0,5:00,"UFC Fight Night: Santos vs. Walker  October 02, 2021"
win,Alexander Hernandez  Mike Breeden,1  0,20  6,0  0,0  0,Lightweight,KO/TKO  Punch,1.0,1:20,"UFC Fight Night: Santos vs. Walker  October 02, 2021"
win,Jared Gordon  Joe Solecki,0  0,51  38,1  4,0  0,Lightweight,S-DEC,3.0,5:00,"UFC Fight Night: Santos vs. Walker  October 02, 2021"
win,Casey O'Neill  Antonina Shevchenko,0  0,52  40,3  0,0  0,Women's Flyweight,KO/TKO  Punches,2.0,4:47,"UFC Fight Night: Santos vs. Walker  October 02, 2021"
win,Karol Rosa  Bethe Correia,0  0,125  62,0  0,0  0,Women's Bantamweight,U-DEC,3.0,5:00,"UFC Fight Night: Santos vs. Walker  October 02, 2021"
win,Jamie Mullarkey  Devonte Smith,1  0,55  29,1  0,0  0,Lightweight,KO/TKO  Punches,2.0,2:51,"UFC Fight Night: Santos vs. Walker  October 02, 2021"
win,Douglas Silva de Andrade  Gaetano Pirrello,1  0,10  5,0  0,0  0,Bantamweight,KO/TKO  Punch,1.0,2:04,"UFC Fight Night: Santos vs. Walker  October 02, 2021"
win,Stephanie Egger  Shanna Young,0  0,29  22,2  0,0  2,Women's Bantamweight,KO/TKO  Elbow,2.0,2:22,"UFC Fight Night: Santos vs. Walker  October 02, 2021"
win,Alejandro Perez  Johnny Eduardo,0  0,23  31,1  1,2  0,Bantamweight,SUB  Armbar,2.0,4:13,"UFC Fight Night: Santos vs. Walker  October 02, 2021"
win,Alexander Volkanovski  Brian Ortega,0  0,214  88,0  2,0  3,Featherweight,U-DEC,5.0,5:00,"UFC 266: Volkanovski vs. Ortega  September 25, 2021"
win,Valentina Shevchenko  Lauren Murphy,0  0,98  11,3  0,0  0,Women's Flyweight,KO/TKO  Punches,4.0,4:00,"UFC 266: Volkanovski vs. Ortega  September 25, 2021"
win,Robbie Lawler  Nick Diaz,0  0,131  150,0  0,0  0,Middleweight,KO/TKO  Punch,3.0,0:44,"UFC 266: Volkanovski vs. Ortega  September 25, 2021"
win,Curtis Blaydes  Jairzinho Rozenstruik,0  0,32  18,3  0,0  0,Heavyweight,U-DEC,3.0,5:00,"UFC 266: Volkanovski vs. Ortega  September 25, 2021"
win,Jessica Andrade  Cynthia Calvillo,0  0,48  27,0  0,0  0,Women's Flyweight,KO/TKO  Punches,1.0,4:54,"UFC 266: Volkanovski vs. Ortega  September 25, 2021"
win,Merab Dvalishvili  Marlon Moraes,0  1,69  29,4  0,0  0,Bantamweight,KO/TKO  Punches,2.0,4:25,"UFC 266: Volkanovski vs. Ortega  September 25, 2021"
win,Dan Hooker  Nasrat Haqparast,0  0,73  27,3  0,0  0,Lightweight,U-DEC,3.0,5:00,"UFC 266: Volkanovski vs. Ortega  September 25, 2021"
win,Chris Daukaus  Shamil Abdurakhimov,2  0,38  23,0  0,0  0,Heavyweight,KO/TKO  Punch,2.0,1:23,"UFC 266: Volkanovski vs. Ortega  September 25, 2021"
win,Taila Santos  Roxanne Modafferi,1  0,55  18,5  0,0  0,Women's Flyweight,U-DEC,3.0,5:00,"UFC 266: Volkanovski vs. Ortega  September 25, 2021"
win,Jalin Turner  Uros Medic,0  0,25  6,1  0,1  0,Lightweight,SUB  Rear Naked Choke,1.0,4:01,"UFC 266: Volkanovski vs. Ortega  September 25, 2021"
win,Nick Maximov  Cody Brundage,0  0,14  28,4  0,0  1,Middleweight,U-DEC,3.0,5:00,"UFC 266: Volkanovski vs. Ortega  September 25, 2021"
win,Matthew Semelsberger  Martin Sano,1  0,3  1,0  0,0  0,Welterweight,KO/TKO  Punch,1.0,0:15,"UFC 266: Volkanovski vs. Ortega  September 25, 2021"
win,Jonathan Pearce  Omar Morales,0  0,12  12,6  0,1  0,Featherweight,SUB  Rear Naked Choke,2.0,3:31,"UFC 266: Volkanovski vs. Ortega  September 25, 2021"
win,Anthony Smith  Ryan Spann,2  0,17  8,0  0,1  0,Light Heavyweight,SUB  Rear Naked Choke,1.0,3:47,"UFC Fight Night: Smith vs. Spann  September 18, 2021"
win,Ion Cutelaba  Devin Clark,1  0,64  23,8  1,0  0,Light Heavyweight,U-DEC,3.0,5:00,"UFC Fight Night: Smith vs. Spann  September 18, 2021"
win,Ariane Lipski  Mandy Bohm,2  0,87  36,0  0,0  0,Women's Flyweight,U-DEC,3.0,5:00,"UFC Fight Night: Smith vs. Spann  September 18, 2021"
win,Arman Tsarukyan  Christos Giagos,1  0,22  1,0  0,0  0,Lightweight,KO/TKO  Punches,1.0,2:09,"UFC Fight Night: Smith vs. Spann  September 18, 2021"
win,Nate Maness  Tony Gravely,1  1,31  36,1  1,0  0,Bantamweight,KO/TKO  Punches,2.0,2:10,"UFC Fight Night: Smith vs. Spann  September 18, 2021"
win,Joaquin Buckley  Antonio Arroyo,1  0,41  21,1  0,0  0,Middleweight,KO/TKO  Punches,3.0,2:26,"UFC Fight Night: Smith vs. Spann  September 18, 2021"
win,Tafon Nchukwi  Mike Rodriguez,0  0,116  49,3  0,0  0,Light Heavyweight,U-DEC,3.0,5:00,"UFC Fight Night: Smith vs. Spann  September 18, 2021"
win,Raquel Pennington  Pannie Kianzad,0  0,48  50,1  1,0  0,Women's Bantamweight,U-DEC,3.0,5:00,"UFC Fight Night: Smith vs. Spann  September 18, 2021"
win,Rong Zhu  Brandon Jenkins,1  0,86  41,6  0,0  0,Lightweight,KO/TKO  Punches,3.0,4:35,"UFC Fight Night: Smith vs. Spann  September 18, 2021"
win,Montel Jackson  JP Buys,4  0,25  8,4  1,1  3,Bantamweight,U-DEC,3.0,5:00,"UFC Fight Night: Smith vs. Spann  September 18, 2021"
win,Erin Blanchfield  Sarah Alpar,0  0,120  41,3  0,0  0,Women's Flyweight,U-DEC,3.0,5:00,"UFC Fight Night: Smith vs. Spann  September 18, 2021"
win,Carlston Harris  Impa Kasanganay,1  0,24  6,0  0,0  0,Welterweight,KO/TKO  Punches,1.0,2:38,"UFC Fight Night: Smith vs. Spann  September 18, 2021"
draw  draw,Gustavo Lopez  Alatengheili,0  0,44  36,3  0,1  0,Bantamweight,U-DEC,3.0,5:00,"UFC Fight Night: Smith vs. Spann  September 18, 2021"
win,Hannah Goldy  Emily Whitmire,0  0,10  5,0  2,1  0,Women's Flyweight,SUB  Armbar,1.0,4:17,"UFC Fight Night: Smith vs. Spann  September 18, 2021"
win,Derek Brunson  Darren Till,0  0,41  26,3  0,1  0,Middleweight,SUB  Rear Naked Choke,3.0,2:13,"UFC Fight Night: Brunson vs. Till  September 04, 2021"
win,Tom Aspinall  Serghei Spivac,1  0,16  0,0  0,0  0,Heavyweight,KO/TKO  Elbow,1.0,2:30,"UFC Fight Night: Brunson vs. Till  September 04, 2021"
win,Alex Morono  David Zawada,0  0,90  86,0  1,0  0,Welterweight,U-DEC,3.0,5:00,"UFC Fight Night: Brunson vs. Till  September 04, 2021"
win,Khalil Rountree Jr.  Modestas Bukauskas,1  0,38  23,0  0,0  0,Light Heavyweight,KO/TKO  Kick,2.0,2:30,"UFC Fight Night: Brunson vs. Till  September 04, 2021"
win,Paddy Pimblett  Luigi Vendramini,1  0,47  25,0  1,0  0,Lightweight,KO/TKO  Punches,1.0,4:25,"UFC Fight Night: Brunson vs. Till  September 04, 2021"
win,Molly McCann  Ji Yeon Kim,0  0,127  122,2  0,0  0,Women's Flyweight,U-DEC,3.0,5:00,"UFC Fight Night: Brunson vs. Till  September 04, 2021"
win,Jack Shore  Liudvik Sholinian,0  0,92  19,2  0,1  0,Bantamweight,U-DEC,3.0,5:00,"UFC Fight Night: Brunson vs. Till  September 04, 2021"
win,Julian Erosa  Charles Jourdain,0  1,103  85,2  0,1  0,Catch Weight,SUB  D'Arce Choke,3.0,2:56,"UFC Fight Night: Brunson vs. Till  September 04, 2021"
win,Marc-Andre Barriault  Dalcha Lungiambula,0  0,118  85,0  2,0  0,Middleweight,U-DEC,3.0,5:00,"UFC Fight Night: Brunson vs. Till  September 04, 2021"
win,Giga Chikadze  Edson Barboza,2  0,60  33,0  0,2  0,Featherweight,KO/TKO  Punch,3.0,1:44,"UFC Fight Night: Barboza vs. Chikadze  August 28, 2021"
win,Bryan Battle  Gilbert Urbina,0  0,46  45,1  2,1  0,Middleweight,SUB  Rear Naked Choke,2.0,2:15,"UFC Fight Night: Barboza vs. Chikadze  August 28, 2021"
win,Ricky Turcios  Brady Hiestand,1  0,100  66,2  6,0  0,Bantamweight,S-DEC,3.0,5:00,"UFC Fight Night: Barboza vs. Chikadze  August 28, 2021"
win,Daniel Rodriguez  Kevin Lee,0  0,120  56,0  3,0  0,Welterweight,U-DEC,3.0,5:00,"UFC Fight Night: Barboza vs. Chikadze  August 28, 2021"
win,Andre Petroski  Micheal Gillmore,0  0,46  31,4  0,1  0,Middleweight,KO/TKO  Elbows,3.0,3:12,"UFC Fight Night: Barboza vs. Chikadze  August 28, 2021"
win,Gerald Meerschaert  Makhmud Muradov,0  0,32  40,3  0,1  0,Middleweight,SUB  Rear Naked Choke,2.0,1:49,"UFC Fight Night: Barboza vs. Chikadze  August 28, 2021"
win,Abdul Razak Alhassan  Alessio Di Chirico,1  0,1  1,0  0,0  0,Middleweight,KO/TKO  Kick,1.0,0:17,"UFC Fight Night: Barboza vs. Chikadze  August 28, 2021"
win,Wellington Turman  Sam Alvey,0  0,69  68,2  0,0  0,Middleweight,S-DEC,3.0,5:00,"UFC Fight Night: Barboza vs. Chikadze  August 28, 2021"
win,Dustin Jacoby  Darren Stewart,0  0,37  18,0  2,0  0,Light Heavyweight,KO/TKO  Punches,1.0,3:04,"UFC Fight Night: Barboza vs. Chikadze  August 28, 2021"
win,JJ Aldrich  Vanessa Demopoulos,0  0,93  70,1  0,0  0,Women's Flyweight,U-DEC,3.0,5:00,"UFC Fight Night: Barboza vs. Chikadze  August 28, 2021"
win,Pat Sabatini  Jamall Emmers,0  0,1  10,0  0,2  1,Featherweight,SUB  Heel Hook,1.0,1:53,"UFC Fight Night: Barboza vs. Chikadze  August 28, 2021"
win,Mana Martinez  Guido Cannetti,0  0,79  66,2  0,0  0,Bantamweight,S-DEC,3.0,5:00,"UFC Fight Night: Barboza vs. Chikadze  August 28, 2021"
win,Jared Cannonier  Kelvin Gastelum,1  0,81  89,0  0,0  0,Middleweight,U-DEC,5.0,5:00,"UFC Fight Night: Cannonier vs. Gastelum  August 21, 2021"
win,Mark Madsen  Clay Guida,0  0,98  72,0  0,0  0,Lightweight,S-DEC,3.0,5:00,"UFC Fight Night: Cannonier vs. Gastelum  August 21, 2021"
win,Parker Porter  Chase Sherman,0  0,149  117,1  0,0  0,Heavyweight,U-DEC,3.0,5:00,"UFC Fight Night: Cannonier vs. Gastelum  August 21, 2021"
win,Saidyokub Kakhramonov  Trevin Jones,0  0,36  12,2  1,4  0,Bantamweight,SUB  Guillotine Choke,3.0,4:39,"UFC Fight Night: Cannonier vs. Gastelum  August 21, 2021"
win,Vinc Pichel  Austin Hubbard,0  0,71  56,0  4,0  0,Lightweight,U-DEC,3.0,5:00,"UFC Fight Night: Cannonier vs. Gastelum  August 21, 2021"
win,Alexandre Pantoja  Brandon Royval,0  0,22  17,3  1,2  0,Flyweight,SUB  Rear Naked Choke,2.0,1:46,"UFC Fight Night: Cannonier vs. Gastelum  August 21, 2021"
win,Austin Lingo  Luis Saldana,1  0,73  77,0  0,0  0,Featherweight,U-DEC,3.0,5:00,"UFC Fight Night: Cannonier vs. Gastelum  August 21, 2021"
win,Brian Kelleher  Domingo Pilarte,0  0,28  3,3  0,2  0,Bantamweight,U-DEC,3.0,5:00,"UFC Fight Night: Cannonier vs. Gastelum  August 21, 2021"
win,Josiane Nunes  Bea Malecki,1  0,52  35,0  0,0  0,Women's Bantamweight,KO/TKO  Punch,1.0,4:54,"UFC Fight Night: Cannonier vs. Gastelum  August 21, 2021"
win,William Knight  Fabio Cherant,1  0,14  15,0  0,0  0,Light Heavyweight,KO/TKO  Punch,1.0,3:58,"UFC Fight Night: Cannonier vs. Gastelum  August 21, 2021"
win,Ignacio Bahamondes  Roosevelt Roberts,1  0,105  55,0  0,0  0,Lightweight,KO/TKO  Kick,3.0,4:55,"UFC Fight Night: Cannonier vs. Gastelum  August 21, 2021"
win,Ramiz Brahimaj  Sasha Palatnikov,0  0,1  1,2  0,1  0,Welterweight,SUB  Rear Naked Choke,1.0,2:33,"UFC Fight Night: Cannonier vs. Gastelum  August 21, 2021"
win,Ciryl Gane  Derrick Lewis,0  0,98  16,0  0,0  0,Heavyweight,KO/TKO  Punches,3.0,4:11,"UFC 265: Lewis vs. Gane  August 07, 2021"
win,Jose Aldo  Pedro Munhoz,0  0,114  75,0  0,0  0,Bantamweight,U-DEC,3.0,5:00,"UFC 265: Lewis vs. Gane  August 07, 2021"
win,Vicente Luque  Michael Chiesa,0  0,7  4,0  1,1  2,Welterweight,SUB  D'Arce Choke,1.0,3:25,"UFC 265: Lewis vs. Gane  August 07, 2021"
win,Tecia Torres  Angela Hill,0  0,144  96,1  2,0  0,Women's Strawweight,U-DEC,3.0,5:00,"UFC 265: Lewis vs. Gane  August 07, 2021"
win,Song Yadong  Casey Kenney,0  0,116  78,0  1,0  0,Bantamweight,S-DEC,3.0,5:00,"UFC 265: Lewis vs. Gane  August 07, 2021"
win,Rafael Fiziev  Bobby Green,0  0,104  143,0  0,0  0,Lightweight,U-DEC,3.0,5:00,"UFC 265: Lewis vs. Gane  August 07, 2021"
win,Vince Morales  Drako Rodriguez,0  0,76  55,1  3,0  0,Bantamweight,U-DEC,3.0,5:00,"UFC 265: Lewis vs. Gane  August 07, 2021"
win,Alonzo Menifield  Ed Herman,0  0,93  41,1  0,0  0,Light Heavyweight,U-DEC,3.0,5:00,"UFC 265: Lewis vs. Gane  August 07, 2021"
win,Jessica Penne  Karolina Kowalkiewicz,0  0,12  8,1  1,1  0,Women's Strawweight,SUB  Armbar,1.0,4:32,"UFC 265: Lewis vs. Gane  August 07, 2021"
win,Manel Kape  Ode Osbourne,1  0,19  18,0  0,0  0,Flyweight,KO/TKO  Flying Knee,1.0,4:44,"UFC 265: Lewis vs. Gane  August 07, 2021"
win,Miles Johns  Anderson Dos Santos,1  0,80  32,0  0,0  0,Bantamweight,KO/TKO  Punch,3.0,1:16,"UFC 265: Lewis vs. Gane  August 07, 2021"
win,Melissa Gatto  Victoria Leonardo,0  0,70  43,1  0,0  0,Women's Flyweight,KO/TKO,2.0,5:00,"UFC 265: Lewis vs. Gane  August 07, 2021"
win,Johnny Munoz  Jamey Simmons,0  0,14  7,2  0,3  0,Bantamweight,SUB  Rear Naked Choke,2.0,2:35,"UFC 265: Lewis vs. Gane  August 07, 2021"
win,Sean Strickland  Uriah Hall,0  0,186  107,4  0,0  0,Middleweight,U-DEC,5.0,5:00,"UFC Fight Night: Hall vs. Strickland  July 31, 2021"
win,Cheyanne Buys  Gloria de Paula,1  0,11  5,1  0,0  0,Women's Strawweight,KO/TKO  Kick,1.0,1:00,"UFC Fight Night: Hall vs. Strickland  July 31, 2021"
win,Jared Gooden  Niklas Stolze,1  0,14  7,1  0,0  0,Welterweight,KO/TKO  Punch,1.0,1:08,"UFC Fight Night: Hall vs. Strickland  July 31, 2021"
win,Melsik Baghdasaryan  Collin Anglin,1  0,44  25,0  1,0  0,Featherweight,KO/TKO  Kick,2.0,1:50,"UFC Fight Night: Hall vs. Strickland  July 31, 2021"
win,Jason Witt  Bryan Barberena,1  0,35  50,8  0,1  0,Welterweight,M-DEC,3.0,5:00,"UFC Fight Night: Hall vs. Strickland  July 31, 2021"
win,Chris Gruetzemacher  Rafa Garcia,0  0,100  72,0  5,0  1,Lightweight,U-DEC,3.0,5:00,"UFC Fight Night: Hall vs. Strickland  July 31, 2021"
draw  draw,Danny Chavez  Kai Kamaka,0  0,41  48,1  0,0  0,Featherweight,M-DEC,3.0,5:00,"UFC Fight Night: Hall vs. Strickland  July 31, 2021"
win,Jinh Yu Frey  Ashley Yoder,0  0,88  91,0  0,0  0,Women's Strawweight,U-DEC,3.0,5:00,"UFC Fight Night: Hall vs. Strickland  July 31, 2021"
win,Zarrukh Adashev  Ryan Benoit,0  1,78  37,0  0,1  0,Flyweight,U-DEC,3.0,5:00,"UFC Fight Night: Hall vs. Strickland  July 31, 2021"
win,Phil Rowe  Orion Cosce,1  0,46  22,0  2,0  0,Welterweight,KO/TKO  Punches,2.0,4:21,"UFC Fight Night: Hall vs. Strickland  July 31, 2021"
win,TJ Dillashaw  Cory Sandhagen,0  0,110  128,2  0,0  1,Bantamweight,S-DEC,5.0,5:00,"UFC Fight Night: Sandhagen vs. Dillashaw  July 24, 2021"
win,Raulian Paiva  Kyler Phillips,0  1,51  74,2  4,0  0,Bantamweight,M-DEC,3.0,5:00,"UFC Fight Night: Sandhagen vs. Dillashaw  July 24, 2021"
win,Darren Elkins  Darrick Minner,0  0,20  19,1  2,0  3,Featherweight,KO/TKO  Punches,2.0,3:48,"UFC Fight Night: Sandhagen vs. Dillashaw  July 24, 2021"
win,Maycee Barber  Miranda Maverick,0  0,36  47,1  1,0  0,Women's Flyweight,S-DEC,3.0,5:00,"UFC Fight Night: Sandhagen vs. Dillashaw  July 24, 2021"
win,Adrian Yanez  Randy Costa,1  0,64  69,0  0,0  0,Bantamweight,KO/TKO  Punches,2.0,2:11,"UFC Fight Night: Sandhagen vs. Dillashaw  July 24, 2021"
win,Brendan Allen  Punahele Soriano,0  0,94  66,0  0,0  0,Middleweight,U-DEC,3.0,5:00,"UFC Fight Night: Sandhagen vs. Dillashaw  July 24, 2021"
win,Nassourdine Imavov  Ian Heinisch,0  0,39  24,1  0,0  0,Middleweight,KO/TKO  Punches,2.0,3:09,"UFC Fight Night: Sandhagen vs. Dillashaw  July 24, 2021"
win,Mickey Gall  Jordan Williams,0  0,11  13,1  1,2  0,Welterweight,SUB  Rear Naked Choke,1.0,2:57,"UFC Fight Night: Sandhagen vs. Dillashaw  July 24, 2021"
win,Julio Arce  Andre Ewell,0  0,42  31,0  0,0  0,Bantamweight,KO/TKO  Punches,2.0,3:45,"UFC Fight Night: Sandhagen vs. Dillashaw  July 24, 2021"
win,Sijara Eubanks  Elise Reed,0  0,22  1,1  0,0  0,Women's Flyweight,KO/TKO  Punches,1.0,3:49,"UFC Fight Night: Sandhagen vs. Dillashaw  July 24, 2021"
win,Diana Belbita  Hannah Goldy,1  0,117  92,0  2,0  0,Women's Strawweight,U-DEC,3.0,5:00,"UFC Fight Night: Sandhagen vs. Dillashaw  July 24, 2021"
win,Islam Makhachev  Thiago Moises,0  0,61  13,3  1,1  1,Lightweight,SUB  Rear Naked Choke,4.0,2:38,"UFC Fight Night: Makhachev vs. Moises  July 17, 2021"
win,Miesha Tate  Marion Reneau,0  0,65  25,3  0,0  0,Women's Bantamweight,KO/TKO  Elbows,3.0,1:53,"UFC Fight Night: Makhachev vs. Moises  July 17, 2021"
win,Mateusz Gamrot  Jeremy Stephens,0  0,1  0,1  0,1  0,Lightweight,SUB  Kimura,1.0,1:05,"UFC Fight Night: Makhachev vs. Moises  July 17, 2021"
win,Rodolfo Vieira  Dustin Stoltzfus,0  0,49  67,3  0,1  0,Middleweight,SUB  Rear Naked Choke,3.0,1:54,"UFC Fight Night: Makhachev vs. Moises  July 17, 2021"
win,Billy Quarantillo  Gabriel Benitez,1  1,100  57,3  0,1  1,Featherweight,KO/TKO  Punches,3.0,3:40,"UFC Fight Night: Makhachev vs. Moises  July 17, 2021"
win,Daniel Rodriguez  Preston Parsons,0  0,45  23,0  0,0  0,Welterweight,KO/TKO  Punches,1.0,3:47,"UFC Fight Night: Makhachev vs. Moises  July 17, 2021"
win,Amanda Lemos  Montserrat Conejo,1  0,7  3,0  0,0  0,Women's Strawweight,KO/TKO  Punch,1.0,0:35,"UFC Fight Night: Makhachev vs. Moises  July 17, 2021"
win,Sergey Morozov  Khalid Taha,0  0,50  33,6  0,0  0,Bantamweight,U-DEC,3.0,5:00,"UFC Fight Night: Makhachev vs. Moises  July 17, 2021"
win,Malcolm Gordon  Francisco Figueiredo,0  0,46  28,2  2,0  0,Flyweight,U-DEC,3.0,5:00,"UFC Fight Night: Makhachev vs. Moises  July 17, 2021"
win,Rodrigo Nascimento  Alan Baudot,0  0,49  60,0  0,0  0,Heavyweight,KO/TKO  Punches,2.0,1:29,"UFC Fight Night: Makhachev vs. Moises  July 17, 2021"
win,Dustin Poirier  Conor McGregor,0  0,36  27,1  0,0  1,Lightweight,KO/TKO,1.0,5:00,"UFC 264: Poirier vs. McGregor 3  July 10, 2021"
win,Gilbert Burns  Stephen Thompson,0  0,29  19,3  0,0  0,Welterweight,U-DEC,3.0,5:00,"UFC 264: Poirier vs. McGregor 3  July 10, 2021"
win,Tai Tuivasa  Greg Hardy,1  0,11  6,0  0,0  0,Heavyweight,KO/TKO  Punch,1.0,1:07,"UFC 264: Poirier vs. McGregor 3  July 10, 2021"
win,Irene Aldana  Yana Kunitskaya,1  0,37  24,0  0,0  0,Women's Bantamweight,KO/TKO  Punches,1.0,4:35,"UFC 264: Poirier vs. McGregor 3  July 10, 2021"
win,Sean O'Malley  Kris Moutinho,1  0,230  70,0  0,0  0,Bantamweight,KO/TKO  Punches,3.0,4:33,"UFC 264: Poirier vs. McGregor 3  July 10, 2021"
